lr,weight_decay,alpha,beta,mean_Val_AUQC,mean_AUUC,mean_AUQC,mean_Lift,mean_KRCC,mean_ATE_Err,std_Val_AUQC,std_AUUC,std_AUQC,std_Lift,std_KRCC,std_ATE_Err
0.0001,1e-05,0.1,0.5,0.8378820685070417,0.7125668870872701,0.7122372403485894,0.0051173166371881965,0.10566454502996883,0.032737307250499725,0.1096362724763123,0.19362034936979633,0.19525110499823997,0.0030862718079238834,0.07421939533017555,0.021360961720347404
0.0001,0.0,1.0,0.5,0.8243807797777887,0.7078241986441725,0.7079487916740498,0.004684867989271879,0.09450539466419358,0.03030775859951973,0.10983599227277525,0.19463491506991537,0.1965505881604083,0.0035892197077555163,0.11091461480075697,0.01994091272354126
0.0001,1e-06,0.1,0.5,0.8320217878250645,0.7068674864617102,0.7065373668997182,0.004510344937443733,0.08967553671811176,0.03363834321498871,0.107915689086728,0.19527798204734462,0.19700481967647296,0.0033647310738398445,0.09373861010403599,0.022478768602013588
0.0001,1e-06,1.0,0.5,0.8253009550879868,0.705343110158888,0.7054666663913985,0.004584266990423203,0.10123746768564319,0.030050670728087425,0.11019631271437445,0.1950291639599386,0.1969525378812817,0.003636414163175045,0.10844346342750658,0.019723188132047653
0.0001,1e-06,0.5,0.5,0.8282972994680948,0.7024402445151228,0.7024549195068617,0.004775006696581841,0.09634171303388021,0.03142625093460083,0.10826772208239523,0.19437150378165394,0.19630333468243752,0.003170742997634119,0.10969361418200184,0.02108830399811268
0.0001,0.0,0.5,0.5,0.8281834175969083,0.7019945621124545,0.7020093565272243,0.0044839573092758656,0.11223640614502912,0.031617872416973114,0.1046928948144115,0.1938054209190377,0.19572099700613735,0.0036155258182815828,0.096231349833615,0.021454699337482452
0.0001,0.0,0.1,0.5,0.8258879822872217,0.701256942108681,0.7012977291972622,0.004264742322266102,0.10683932013958045,0.032746754586696625,0.10546764454626581,0.19503492756356647,0.19695159690183847,0.0037488500554107994,0.09040820800519334,0.022494686767458916
5e-05,1e-05,1.0,0.1,0.7371512547832755,0.6886873853819095,0.6884689093050052,0.005754684936255217,0.07282495922747949,0.012678064405918121,0.15741704221137098,0.22716773644676758,0.22781792681444932,0.004062750111576297,0.10810026971415704,0.008258089423179626
0.0001,1e-05,1.0,0.1,0.7463340611172735,0.6883335139836363,0.6883551005382624,0.006252698879688978,0.10991459201320841,0.013257099315524101,0.15376037161933231,0.25307103658948343,0.25384704288968074,0.003512711406547995,0.13483970338942955,0.008591022342443466
0.0001,0.0,1.0,0.1,0.7317045671158047,0.6880806129774519,0.6880656248047112,0.0058179529383778576,0.11446616016428506,0.01212314423173666,0.17115628117881934,0.26353547607470285,0.2643384735166645,0.00382926701649679,0.15458211951227457,0.010084656998515129
