lr,weight_decay,method,alpha,mean_Val_AUQC,mean_AUUC,mean_AUQC,mean_Lift,mean_KRCC,mean_ATE_Err,std_Val_AUQC,std_AUUC,std_AUQC,std_Lift,std_KRCC,std_ATE_Err
5e-05,1e-06,mmd_rbf,0.1,0.8402072292648853,0.6415324648074845,0.6383077083062407,0.0050598660483956335,0.08485187193920939,0.035803742706775665,0.06440714978940518,0.08526873560073588,0.08529505818851799,0.0023706016431943146,0.04535280519149593,0.02423778735101223
5e-05,1e-06,mmd_linear,1.0,0.6819034492848244,0.637816587007111,0.6374892092762166,0.004268883634358645,0.0644020557394642,0.02196480706334114,0.2846824838634136,0.2095512808093411,0.20990101406093448,0.003404286153768347,0.11940127504528729,0.014024173840880394
5e-05,1e-06,mmd_linear,0.5,0.6745763156271269,0.6364880812322455,0.6357509884860397,0.004308203049004078,0.062084935537202346,0.021053243428468704,0.2697355596075064,0.18164106697481056,0.18089184488392043,0.003923435867425865,0.07276598669187459,0.013024146668612957
0.0001,1e-05,mmd_linear,0.1,0.8205038537926518,0.6375052517314304,0.634833720921147,0.005842897016555071,0.05199381766788365,0.036300260573625565,0.08969478927121119,0.04375178913910952,0.042969855013203745,0.001685833162916651,0.040294996048038136,0.027508988976478577
0.0001,0.0001,mmd_linear,0.1,0.8211063596209078,0.6365807337385146,0.6346503129083707,0.006105628982186318,0.0635353815379617,0.037556134164333344,0.08329837076450043,0.05280768974510534,0.053044814978551805,0.001553171143908211,0.03684368519314425,0.030028633773326874
5e-05,1e-06,mmd_linear,0.1,0.8303674740540421,0.635245845616345,0.6326849778615162,0.0047813160344958305,0.06692883870032172,0.033419497311115265,0.0937555571855078,0.0644493093002068,0.06510920730764751,0.0014698187726640752,0.0421049966634599,0.022316372022032738
5e-05,1e-05,mmd_linear,0.5,0.67198723207401,0.629316692427796,0.6286957882932771,0.004413421545177698,0.07586671152363414,0.021044913679361343,0.26892731801256625,0.1758885275875972,0.17516842697260676,0.0040293246435378766,0.0748133680695813,0.013095899485051632
5e-05,0.0001,mmd_linear,1.0,0.6819580832276269,0.6263217857704848,0.6264595829715485,0.003867260366678238,0.05727673446668383,0.0215150136500597,0.28210883910785733,0.18814200642069248,0.18820460705654,0.0033242059741876565,0.09796015272308468,0.013452381826937199
5e-05,1e-05,mmd_linear,0.1,0.8255805393525636,0.6286417066609341,0.6260353283920363,0.004910021834075451,0.06588183275446423,0.033511314541101456,0.08902550686534184,0.053949881481561796,0.05477308619357836,0.002084096355675599,0.03227100451206117,0.02294069156050682
0.001,1e-05,mmd_linear,1.0,0.794008641048592,0.6254320717052189,0.6240628100685198,0.0043411747552454475,0.06311953390083837,0.020832903683185577,0.15346596954052238,0.11684808954111595,0.11829469726964097,0.0018736438052552409,0.08476515103086008,0.020941894501447678
0.0001,1e-06,mmd_linear,1.0,0.7790636379970156,0.6240024751552969,0.6228740530114212,0.004970927722752094,0.04412978411910989,0.03585480898618698,0.11211016879095827,0.09851285274621159,0.09957794178238268,0.00226911773714593,0.04974486591609603,0.02510341815650463
5e-05,0.0001,mmd_linear,0.5,0.6720557937650877,0.6200935568075041,0.6195716443370507,0.004001971427351236,0.07497682651494586,0.0205460786819458,0.2674573018806577,0.16540748268752664,0.16481047781848887,0.003527232736693284,0.08883753897968517,0.012448667548596859
0.0005,0.0001,mmd_linear,1.0,0.7885959394574569,0.6166059414239283,0.616694865673856,0.004778056405484676,0.03859685890603957,0.03628028184175491,0.14416084167098087,0.12146093649654502,0.12326468143123963,0.0024700905637074578,0.05505335524497527,0.03937206044793129
5e-05,1e-05,mmd_linear,1.0,0.6807047172662348,0.6122410603486691,0.6120031528911754,0.0043907265178859236,0.050437988861942194,0.021716803312301636,0.2836470997259517,0.19099358363830743,0.19129363717003825,0.0037909954348564205,0.09839347172119442,0.013918778859078884
0.0001,0.0001,mmd_linear,1.0,0.7675596026515815,0.6126413608308147,0.611984453727012,0.004197561182081699,0.031032247088316745,0.03768055886030197,0.12107399835387299,0.12620331181062647,0.1272958989162859,0.00312645495582588,0.07234266783326575,0.02911396510899067
0.001,0.0001,mmd_linear,1.0,0.7902848551970464,0.6133103548148752,0.6117916029071198,0.0038838126696646214,0.05648219921618225,0.02329392544925213,0.15537064579072882,0.12148006964704108,0.12287942491919487,0.0015747991812412553,0.056817557761400635,0.0253292303532362
0.0001,1e-05,mmd_linear,1.0,0.7797855362879653,0.6107916788204744,0.6096259040344305,0.004550170246511697,0.04392039608739434,0.03609568625688553,0.11326798023637608,0.10454989268682396,0.10563436929750254,0.002345192395513963,0.06164132731830448,0.02572426199913025
0.0005,1e-06,mmd_linear,1.0,0.7884104589406299,0.6068723192978804,0.6069890473090931,0.004622083995491267,0.04727730112439665,0.03354668989777565,0.14608131288410647,0.11606682725059436,0.11760364738017105,0.0032235269709522227,0.05826308005181048,0.03436935693025589
0.0005,1e-05,mmd_linear,1.0,0.7825084895012132,0.6037693786323559,0.603791326839301,0.004604081902652979,0.05065677696197542,0.03442927449941635,0.15007916306767494,0.1144189435356089,0.11618403568486141,0.0027912278580722017,0.07249850815041871,0.03558347374200821
0.0001,1e-06,mmd_linear,0.5,0.7860988401408924,0.6013386510312768,0.6001229521661204,0.004349194560199976,0.0559906269085243,0.03854977339506149,0.09067485152486907,0.26762845758239295,0.26741129079365467,0.004256058784437958,0.13103032078840157,0.02695697359740734
5e-05,0.0001,mmd_linear,0.1,0.6977972958271558,0.5880746259855638,0.5869343759000347,0.004401176981627941,0.04058900707460437,0.020486237481236458,0.289899987640047,0.12414721660078823,0.12257628494759744,0.003143790143950475,0.07133095599809133,0.01251101866364479
0.0001,1e-05,mmd_linear,0.5,0.7787041469220621,0.5783873491368866,0.5775989508692874,0.004928424023091793,0.04696937914175385,0.03828350454568863,0.09037707833157249,0.21001487105733854,0.21040909197854765,0.003333594123348789,0.10979163069926573,0.02435542643070221
